Nº PEDIDO,MOTIVO EXPRÉS,MOTIVO,CANAL,FOTO,ESTADO,RESPONSABLE,Fecha incidencia,SOLUCION,Fecha resolución
#59932,PEDIDO PERDIDO,PEDIDO LLEGA CON UNA QUEMADURA,INBOX,INCIDENCIAS/1000052009.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/21/2025,MANDADO EL PEDIDO DESDE TIENDA CON RETORNO,
#62248,,PEDIDO PARALIZADO TIKTOK,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,PEDIDO PARALIZADO EN MAILING,
#63251,,cruce envio con #63351,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,"tenemos que recoger paquete de #63351 y entregar al cliente, al cliente le llega su prenda ",10/03/2025
#63337,,ENTREGADO EN PUNTO DE CONVENIENCIA,INBOX,INCIDENCIAS/Captura_de_pantalla_2025-02-24_200923.png,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,RECOGIDO,25/02/2025
#63351,,cruce de envio con #63251,INBOX,INCIDENCIAS/IMG_8173.jpeg,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,"la clienta quiere la devolucion integra del dinero del pedido, pone una denuncia en consumo, cancelamos y mandamos la recogida del pedido #63251, cuando le devolvamos el dinero quitara la denuncia ",
"#63392 ",,"PEDIDO DEL 29 DE ENERO, TODAVIA NO HA ENTRADO REPO DE KIDS Y SE PIDIÓ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,SE LE MANDA EL POLAR NEGRO,
#63816,,DEVOLUCIÓN DE TIKTOK,TIENDA,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,SACAMOS LA PRENDA DE LA BOLSA Y LO METEMOS EN STOCK,26/02/2025
#66113,,PRENDAS INCORRECTAS,INBOX,INCIDENCIAS/IMG_20250218_145954.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/20/2025,MANDADO PEDIDO CON RETORNO 5483000719919352,24/02/2025
#66335,,PRENDA ERRONEA,INBOX,INCIDENCIAS/IMG_7134.jpeg,SOLUCIONADO,dunia sanchis rodriguez,02/24/2025,MANDADO EL PEDIDO CORRECTAMENTE,27/02/2025
#47722,,"LE HACEMOS LA DEVOLUCION DEL DINERO, VIENE LA CLIENTA A TIENDA, PEDIDO PERDIDO",TIENDA,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,"HACEMOS DEVOLUCION DEL DINERO Y MANDAMOS FACTURA A MAILING ",25/02/2025
#53144,,PEDIDO QUE NO HA SALIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,"cancelar pedido ",25/02/2025
#57322,,no recibe el pedido pero marca como entregado,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,"pregunto a luis, recogen en un local comercial",25/02/2025
#62251,," PAQUETE PERDIDO",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,DEVOLVEMOS EL IMPORTE Y PEDIMOS LA FACTURA,26/02/2025
#63419,,PEDIDO NO MANDADO A BORDADOS,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,NO SE MANDO NUNCA A BORDADOS,25/02/2025
#66114,,PRENDA MAL ENVIADA,INBOX,INCIDENCIAS/IMG_3763.jpeg,SOLUCIONADO,dunia sanchis rodriguez,02/20/2025,MANDADA LA PRENDA CORRECTA CON RETORNO 5483000720074071,25/02/2025
#66317,,NO STOCK UNA PRENDA,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/25/2025,CAMBIADO POR OTRO COLOR - OK,26/02/2025
#64655,PEDIDO PERDIDO,PEDIDO ENTREGADO PERO NO LO TIENE EL CLIENTE,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,"PREGUNTO A LUIS, PAQUETE ENTREGADO",27/02/2025
#64592,PEDIDO MAL ENTREGADO,"PIDE 4 FORROS Y SOLAMENTE LE LLEGAN DOS ",INBOX,INCIDENCIAS/1000326786.jpg,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,LAS OTRAS DOS PRENDAS LAS MANDAN GORCA DESDE SU OFICINA,
#61080,,PEDIDO NO LE LLEGA DESDE EL 20 DE ENERO,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,PEDIDO LO TIENE LUIS EN SU CAJA,
#64323,,LE LLEGA PEDIDO PERO FALTA UNA PRENDA,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,ENTREGADO EL 24 DE FEBRERO,27/02/2025
#46161,,PEDIDO PERDIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,02/26/2025,PEDIDO REEMBOLSADO Y LE HEMOS HECHO UNA TARJETA REGALO,26/02/2025
#58522,,"PEDIDO DE ENERO TODAVIA NO HA LLEGADO, RECLAMO A LUIS ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,"EL PEDIDO COMPLETO ESTA PERDIDO, SE LO VOLVEMOS A PREPARAR DE NUEVO",11/03/2025
"#59353 ",PEDIDO PERDIDO," ENVIAR FACTURA PEDIDO PERDIDO, PREGUNTO A MAILING",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,LE MANDAMOS DE NUEVO LA PRENDA QUE PIDIO,06/03/2025
#53312,,"PEDIDO NO LLEGA DESDE DICIEMBRE, RECLAMO A MAILING. ME COMENTAN QUE HA SIDO UN ERROR, APARECE COMO ENVIADO PERO REALMENTE NO ES ASI, NO TIENEN STOCK. OFREZCO A LA CLIENTE CAMBIAR POR OTRA PRENDA.",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,NUNCA SE HA MANDADO Y LO CANCELAMOS,
#57413,,"PRENDA DEFECTUOSA, ENVIAMOS PRENDA DE NUEVO Y RECOGIDA DE LA OTRA ",INBOX,"INCIDENCIAS/2c8aa3af-4506-40e8-aadd-32683ea339b1.jpeg, INCIDENCIAS/5217a42d-b0bf-4919-bfb2-57d7a6883b53.jpeg, INCIDENCIAS/da62a969-7cf0-465c-91aa-00c9e66f83e7.jpeg",SOLUCIONADO,dunia sanchis rodriguez,02/27/2025,LE MANDAMOS UNA NUEVA PRENDA AL CLIENTE Y LE RECOGEMOS LA DEFECTUOSA,
#48622,PRENDA EN MAL ESTADO,PRENDA CON UNA FRANJA EN MEDIO,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,SE MANDA UNA NUEVA PRENDA A BORDADOS,06/03/2025
#46496,PEDIDO PERDIDO,SE HA PERDIDO EL PAQUETE,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,SE LE MANDA UN ARTÍCULO NUEVO,06/03/2025
#45917,PRENDA EN MAL ESTADO,PRENDA CON TARA,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,SE LE HA MANDADO LA NUEVA Y TENEMOS RECOGIDA LA ANTIGUA,06/03/2025
"#64334 ",PEDIDO PERDIDO,"CRUCE DE PEDIDOS CON #64344, MIRAR LA CAJA ANTERIOR. CUANDO SE LOCALICE EL OTRO PEDIDO ENVIAR LOS CORRECTOS. PRENDAS QUE TENÁI LUIS Y SE LA TENEMOS QUE RECLAMAR",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/04/2025,"SE HACE RECOGIDA DEL PAQUETE QUE LE LLEGA MAL PARA ENVIARSELO AL OTRO CLIENTE, ELLA DECIDE CANCELAR SU PEDIDO Y SE LE HACE EL REEMBOLSO",10/03/2025
#67101,PEDIDO PERDIDO,PAQUETE ENTREGADO A UNA PERSONA QUE NO ES LA CLIENTA,INBOX,"INCIDENCIAS/Captura_de_pantalla_2025-03-06_160439.png, INCIDENCIAS/IMG_4675.jpeg",SOLUCIONADO,dunia sanchis rodriguez,03/06/2025,LE PEDIMOS A LA CLIENTA EL DNI,
#66275,,"CRUCE DE PEDIDOS CON #65275, INFORMAMOS A MAILING DEL CRUCE DE PEDIDOS Y PEDIMOS ETIQUETAS DE RECOGIDA DE LOS DOS. ENVIADA LA ETIQUETA DE RECOGIDA",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/12/2025,"YA LE HAN ENTREGADO Y RECOGIDO EL PEDIDO ",18/03/2025
#57173,PEDIDO PERDIDO,PAQUETE PERDIDO POR CORREOS,LLAMADA,,SOLUCIONADO,dunia sanchis rodriguez,03/12/2025,LE HACEMOS EL REEMBOLSO PARA QUE PIDA UNA NUEVA PRENDA,12/03/2025
#65977,PEDIDO PERDIDO,PAQUETE PERDIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/12/2025,LE MANDAMOS UNA NUEVA PRENDA AL CLIENTE,12/03/2025
#66444,PEDIDO PERDIDO,"PAQUETE ENTREGADO EN CITYBOX PERO CUANDO EL CLIENTE VA A ABRIRLO NO HAY NADA, RECLAMO A MAILING EL JUSTIFICANTE DE ENTREGA O DNI, LE COMENTO AL CLIENTE QUE COLORES QUIERE QUE LE ENVIEMOS DE NUEVO",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/13/2025,"CLIENTE PREFIERE REEMBOLSO, YA QU ENO QUIERE OTROS COLORES, PREFIERE COMPRARLOS MAS A DELANTE",
#55903,,"SOLO LE ENTREGAN UNA DE LAS DOS PRENDAS, PEDIDO DE DICIEMBRE, RECLAMAMOS Y ENVIAMOS LA PRENDA QUE SE HABIA QUEDADO ATRAS",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/14/2025,PRENDA ENVIADA Y NUMERO DE SEGUIMIENTO TAMBIEN,14/03/2025
#67982,,"LE LLEGA UNA PRENDA SIN NINGUN TIPO DE BORDADO Y TAMBIEN MAL EL BORDADO, SE LO RECLAMAMOS A MAILING PARA QUE LA RECOJAN Y ENVIEN LA CORRECTA",INSTAGRAM,INCIDENCIAS/IMG_1655.jpeg,SOLUCIONADO,dunia sanchis rodriguez,03/13/2025,"SE LE MANDA EL NUMERO DE SEGUIMIENTO AL CLIENTE ",14/03/2025
#64770,,"le llegan uno de los dos forros polares ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,,
#65187,PEDIDO PERDIDO,"PAQUETE NO TIENE NUMERO DE SEGUIMIENTO, PERDIDO, LE DOY A ELEGIR AL CLIENTE OTROS COLORES. SE DIO A LUIS Y NUNCA SE LLEGÓ A MANDAR",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/17/2025,SE MANDAN NUEVAS PRENDAS A BORDAR,17/03/2025
#61158,PEDIDO PERDIDO,PAQUETE ENVIADO Y PERDIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/17/2025,SE LE MANDA UNA NUEVA Y SE LE RECLAMA EL PEDIDO A CORREOS,17/03/2025
#57871,PEDIDO PERDIDO,TIENE SEGUIMIENTO PERO ESTÁ PARADO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/17/2025,SE LE RECLAMA A LUIS LA PERDIDA DEL PEDIDO,17/03/2025
#64685,PEDIDO PERDIDO,"PAQUETE ENVIADO PERO NO LE HA LLEGADO AL CLIENTE, RECLAMADO A MAILING. CLIENTE QUIERE REEMBOLSO Y COMENTA QUE HA PUESTO UNA RECLAMACION. LE EXPLICO LA SITUACION DEL PEDIDO Y QUE LO HE RECLAMADO PARA VER EN QUE SITUACION SE ENCUENTRA",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/18/2025,"EL CLIENTE PONE HOJA DE RECLAMACIONES, PROCEDEMOS AL REEMBOLSO DEL PEDIDO. ",19/03/2025
#65286,PEDIDO PERDIDO,SE MANDO A GORCA Y NO REGRESO EL PEDIDO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,,,
#64419,,LUIS HA ENTREGADO UNICAMENTE UNA PRENDA DE LAS DOS,,,SOLUCIONADO,dunia sanchis rodriguez,,SE LE MANDA SOLAMENTE UN ARTÍCULO,20/03/2025
#47308,,"PEDIDO PERDIDO, SALE COMO ENTREGADO EN PAPELERIA Y LIBRERIA LA NUEVA. HABLO CON EL DUEÑO DE LA TIENDA Y ME DICE QUE EL NO TIENE EL PAQUETE Y QUE DESDE DICIEMBRE NO PUEDE TENER UN PAQUETE DESDE DICIEMBRE",TIENDA,,SOLUCIONADO,,,,
#65640,,"PAQUETE NO HA SALIDO DE ALMACEN, MIRAR CON FERRETE , FINALMENTE ENVIAMOS LAS DOS PRENDAS DESDE TIENDA",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/31/2025,ENVIAMOS LAS PRENDAS DESDE TIENDA,14/04/2025
#62418,PRENDA EN MAL ESTADO,PAQUETE DAÑADO POR CORREOS,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/20/2025,SE LE MANDA UNA NUEVA PRENDA Y RECLAMAMOS LA ANTERIOR A CORREOS,20/03/2025
#64934,,"LE LLEGA MAL EL PEDIDO, SE LE ENVIA DESDE TIENDA CON RETORNO LA GRIS PLOMO, EN BORDADOR ESTA LA GRIS CARBON",INBOX,"INCIDENCIAS/1000068011.jpg, INCIDENCIAS/1000068009.jpg, INCIDENCIAS/1000068008.jpg, INCIDENCIAS/1000068007.jpg, INCIDENCIAS/1000068005.jpg, INCIDENCIAS/1000068004.jpg",SOLUCIONADO,dunia sanchis rodriguez,03/13/2025,,
#64697,,"CLIENTE PIDE DOS FORROS CIUDADES, DE UNA PIDE QUE SE CAMBIE LA CIUDAD, AVISO A ADRIAN Y LE LLEGA AL CLIENTE LOS DOS FORROS CON LA MISMA CIUDAD. OFREZCO OTRO COLOR PARA MANDAR A BORDAR DE NUEVO Y RECOGER LA PRENDA ERRONEA. ",INBOX,"INCIDENCIAS/Imagem_2025-02-27_s_17.16.21_1d8a3b69.jpg, INCIDENCIAS/Imagem_2025-02-27_s_17.16.22_81efff26.jpg",SOLUCIONADO,dunia sanchis rodriguez,03/21/2025,,
#65438,,"CLIENTA PIDE DOS PRENDAS, UNA S Y UNA M, AL ENVIAR A BORDAR SE EQUIVOCAN Y COGEN UNA L EN VEZ DE UNA S. LLAMO A LA CLIENTA PARA OFRECERLE OTRO COLOR PERO NO LO QUIERE, ERA PARA UN REGALO Y QUIERE LAS DOS IGUALES O NINGUNA. HABLAR CON FERRETE SI LE REEMBOLSAMOS EL DINERO",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/21/2025,PEDIDO SE CANCELA,03/04/2025
#67861,PEDIDO PERDIDO,PAQUETE ENTREGADO A OTRA PERSONA,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/24/2025,SE LE MANDA UNA NUEVA PRENDA,24/03/2025
#65954,PEDIDO MAL ENTREGADO,"ENTREGAN UNA PRENDA DEL COLOR ERRONEO, OFREZCO OTRO COLOR ",INBOX,"INCIDENCIAS/IMG_4107.jpeg, INCIDENCIAS/IMG_4109.jpeg, INCIDENCIAS/IMG_4110.jpeg",SOLUCIONADO,dunia sanchis rodriguez,03/25/2025,CLIENTA FINALMENTE NO QUIERE CAMBIAR EL COLOR DEL FORRO POLAR POR AHORRARSE EL TRAMITE DE DEVOLUCION,25/03/2025
#6925,PEDIDO PERDIDO,PAQUETE ROTO,MAIL,,SOLUCIONADO,dunia sanchis rodriguez,03/26/2025,LE MANDAMOS UNO NUEVO AL CLIENTE,26/03/2025
#67116,,"UNO DE LOS DOS FORROS POLARES LE LLEGA SIN LAS INICIALES BORDADAS, PIDO RECOGIDA A LUIS ",INBOX,INCIDENCIAS/image%203.jpg,SOLUCIONADO,dunia sanchis rodriguez,03/26/2025,,
#65434,PEDIDO PERDIDO,CLIENTA SOLICITA EL REEMBOLSO,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/26/2025,REEMBOLSADO,26/03/2025
#65292,PEDIDO PERDIDO,A ESPERAS DE TENER STOCK POLARES PARA PFRECERLE OTRO AL CLIENTE,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/31/2025,"SE MANDAN A BORDAR NUEVAS PRENDAS ",
#68555,,"LE LLEGA UNA PRENDA DE OTRO PEDIDO (68355), PREGUNTO A LUIS SI TIENE ALLI EL OTRO PEDIDO PARA HACER EL CAMBIO DE PRENDAS //",INBOX,INCIDENCIAS/Captura_de_pantalla_2025-03-31_a_las_16.11.57.png,SOLUCIONADO,dunia sanchis rodriguez,03/31/2025,"LA OTRA PRENDA LA TENIA MAILING EN ALMACEN, SE HACE EL ENVIO CON RETORNO",09/04/2025
#67088,PEDIDO MAL ENTREGADO,"LE ENTREGAN UNA PRENDA SIN LAS INICIALES GRABADAS, PIDO RECOGIDA A LUIS ",INBOX,INCIDENCIAS/1000279883.jpg,SOLUCIONADO,dunia sanchis rodriguez,04/01/2025,,
#68022,PEDIDO PERDIDO,"NUMERO DE SEGUIMIENTO PERO NO LE LLEGA AL CLIENTE. OFRECEMOS OTRA PRENDA ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,04/02/2025,,
#67047,PEDIDO PERDIDO,"PRENDA NO LE LLEGA AL CLIENTE, RECLAMO A ERIC Y COMENTA QUE NUNCA HA TENIDO ESA PRENDA EN SU ALMACEN, TRAMITO UNA NUEVA PRENDA PARA BORDAR",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,,
#65571,PEDIDO PERDIDO,"TRAMITAR NUEVAS PRENDAS ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,,PREPARAMOS DE NUEVO LAS DOS PRENDAS Y AVISAMOS AL CLIENTE VI AMAIL,02/04/2025
#68334,PRENDA EN MAL ESTADO,"TRAMITO NUEVA PRENDA ",MAIL,"INCIDENCIAS/Captura_de_pantalla_2025-04-03_104144.png, INCIDENCIAS/Captura_de_pantalla_2025-04-03_103840.png",SOLUCIONADO,dunia sanchis rodriguez,03/31/2025,ENVIAMOS DE NUEVO LA PRENDA Y RECOGEMOS LA QUE ESTA MAL,
#58321,PEDIDO PERDIDO,LLAMO A LA CLIENTA PARA TRAMITAR NUEVAS PRENDAS PERO NO ME COGE TELF,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,04/03/2025,,
#64941,PEDIDO PERDIDO,RECLAMO A LUIS SI LO HA BORDADO // EN EL EXCEL SOLO APARECE 1/2,INBOX,,SOLUCIONADO,dunia sanchis rodriguez,04/03/2025,se le envía una de nuevo,
#67256,PEDIDO PERDIDO,"TRAMITO UNA NUEVA PRENDA, SE SUPONE QUE SE HA BORDADO PERO NO HAY NOTICIAS DE LA PRENDA ",INBOX,,SOLUCIONADO,dunia sanchis rodriguez,03/31/2025,TRAMITO UNA NUEVA PRENDA,07/04/2025
